### columns from Head ###
     Cluster     Annotation     gene     p_val     avg_diff     pct.1     pct.2

### data from body ###

     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Tp     8.4179e-115     1.1384     0.704     0.298
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Slc12a2     3.588e-74     1.1267     0.441     0.14
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Scd2     2.2903e-281     1.1235     0.939     0.514
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Aspa     1.4973e-71     1.1226     0.396     0.097
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Slc44a1     1.0313e-82     1.1221     0.466     0.132
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Opalin     1.9682e-71     1.1197     0.456     0.149
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Slain1     1.5578e-63     1.1174     0.342     0.078
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Pls1     3.141e-59     1.1128     0.33     0.083
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ywhaq     3.6813e-117     1.1115     0.653     0.296
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Ti     3.3009e-61     1.1106     0.434     0.17
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Acot7     3.1693e-68     1.1036     0.402     0.111
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Lpar1     2.2951e-53     1.1005     0.251     0.043
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Edil3     1.4611e-70     1.0983     0.374     0.086
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tppp     7.7683e-66     1.0968     0.363     0.087
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Neat1     1.6058e-114     1.0907     0.684     0.276
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Cntn2     4.4786e-56     1.0894     0.314     0.074
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Slc48a1     1.605e-106     1.0887     0.615     0.235
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Rnr1     1.0122e-168     1.0885     0.915     0.537
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Fkbp1a     4.228e-85     1.0878     0.527     0.195
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sccpdh     1.4777e-63     1.0854     0.389     0.119
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gamt     1.484e-58     1.0735     0.346     0.092
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ptprd     3.0621e-64     1.0657     0.375     0.098
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Csrp1     4.0983e-90     1.0624     0.593     0.245
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Pllp     1.5553e-98     1.0623     0.585     0.203
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Plekhb1     8.9278e-91     1.0578     0.575     0.232
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Aatk     1.5361e-64     1.0551     0.411     0.126
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Rnr2     3.1913e-203     1.0486     0.967     0.657
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Kctd13     5.7331e-49     1.0404     0.263     0.057
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Tc     7.4584e-55     1.0364     0.434     0.185
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Nkx6-2     7.0388e-62     1.0319     0.35     0.083
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tnfaip6     2.7205e-48     1.0275     0.244     0.046
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gnai1     2.7039e-49     1.0265     0.231     0.037
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Adap1     7.5811e-50     1.0219     0.277     0.062
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Dnajb2     8.2113e-53     1.0206     0.32     0.084
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Tl2     1.3076e-50     1.0184     0.401     0.16
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Tq     2.5616e-41     1.0161     0.297     0.104
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Agpat4     1.4551e-60     1.0149     0.386     0.118
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     S1pr5     3.5118e-48     1.0141     0.223     0.034
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Dusp26     3.892e-48     1.0095     0.277     0.066
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tmeff2     2.31e-58     1.0091     0.344     0.086
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Stmn1     1.2613e-91     1.0083     0.553     0.189
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Cers2     2.7769e-65     1.0081     0.445     0.161
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Mapt     6.1788e-74     1.0074     0.503     0.186
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Etv1     2.1382e-46     1.0054     0.267     0.062
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sept8     2.4552e-59     0.9957     0.42     0.154
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Tf     1.6247e-43     0.9948     0.339     0.131
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Lgi3     4.9473e-52     0.9931     0.338     0.097
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Tm     1.1515e-65     0.9922     0.524     0.218
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Myrf     7.458e-42     0.9922     0.226     0.048
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     2810468N07Rik     6.924e-53     0.9904     0.363     0.116
