### columns from Head ###
     Cluster     Annotation     gene     p_val     avg_diff     pct.1     pct.2

### data from body ###

     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Surf4     0.0045     0.6562     0.375     0.089
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     mt-Co1     0.0003     0.6542     0.875     0.809
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Auh     0.0012     0.652     0.375     0.09
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tsta3     0.0007     0.6511     0.25     0.026
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Timm17a     0.0005     0.6509     0.438     0.099
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Pebp1     0.0011     0.6508     0.562     0.169
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Miga1     0.0001     0.6495     0.25     0.016
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Lynx1     0.0001     0.6477     0.25     0.022
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Itpr1     0.0005     0.6436     0.25     0.033
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tmem126a     0.0007     0.6392     0.312     0.049
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Aco2     0     0.6371     0.562     0.149
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Esd     0.0004     0.6333     0.375     0.069
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Hsdl2     0.0003     0.6328     0.312     0.04
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Gm13111     0.0000079709     0.6326     0.188     0.002
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Urod     0.0009     0.6313     0.312     0.051
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Dync1i1     0.0000079797     0.6267     0.25     0.009
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Smim14     0.0003     0.6262     0.562     0.156
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Pbxip1     0.0003     0.6257     0.312     0.046
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ctsl     0.0003     0.625     0.812     0.314
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tsn     0.0067     0.6248     0.312     0.088
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tmem168     0.0001     0.6247     0.25     0.018
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     2410015M20Rik     0.0056     0.6227     0.438     0.138
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mrps25     0.0001     0.619     0.312     0.039
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mest     0.0009     0.6175     0.188     0.008
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Odc1     0.0001     0.6168     0.25     0.021
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rsph9     0     0.612     0.25     0.016
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mrpl17     0.0041     0.6119     0.375     0.091
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rnaset2a     0.0001     0.6105     0.375     0.071
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Cox4i1     0.0084     0.6088     0.875     0.646
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Actn1     0.0001     0.6049     0.25     0.018
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Pon3     1.5535e-7     0.6036     0.25     0.011
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Gadd45g     0     0.6023     0.312     0.039
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Echdc2     0.0000072123     0.6022     0.25     0.015
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Fopnl     0     0.6017     0.438     0.081
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Atp5a1     0.0015     0.6009     0.75     0.298
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Gpx1     0.0007     0.6006     0.438     0.136
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rps11     0.0089     0.5959     0.625     0.254
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Aldh7a1     4.4285e-7     0.5891     0.375     0.047
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Bad     0     0.5889     0.312     0.038
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Apmap     2.8763e-9     0.5889     0.375     0.029
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Wdr6     0.0006     0.5884     0.188     0.015
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rheb     0.007     0.5876     0.375     0.097
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Smim11     0.0002     0.5871     0.375     0.069
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Fbxo36     0.0015     0.5861     0.25     0.027
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Isca2     0.0078     0.586     0.312     0.077
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mettl26     0.0001     0.5858     0.312     0.044
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Glmp     0.0001     0.5849     0.438     0.096
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Snrnp25     2.0121e-8     0.5841     0.312     0.014
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Fuca2     0.0019     0.5837     0.25     0.035
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Gfpt1     0.005     0.5826     0.188     0.017
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ift52     0.0092     0.5826     0.188     0.022
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Sdc2     4.2413e-9     0.5799     0.312     0.02
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ift80     0.0076     0.5782     0.188     0.019
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ndufaf4     0.0018     0.5773     0.25     0.036
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Commd10     0.0087     0.5758     0.25     0.04
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Idh2     0.0044     0.5748     0.25     0.047
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ormdl3     0.0039     0.5723     0.25     0.039
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ptbp1     0.0069     0.5695     0.188     0.042
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Serp1     0.0009     0.5632     0.438     0.119
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Pfkp     0.0001     0.5574     0.25     0.028
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Nelfcd     0.0002     0.5574     0.25     0.026
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Alg14     4.292e-7     0.5573     0.375     0.04
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tmed1     0     0.5572     0.312     0.036
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Msi2     0.0099     0.5558     0.188     0.038
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Nisch     0.0004     0.5549     0.438     0.121
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Chchd2     0.006     0.5511     0.938     0.547
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ndufb5     0.0019     0.5465     0.562     0.188
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Gng5     0.0003     0.5451     0.562     0.171
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tctn2     0.0001     0.5448     0.188     0.008
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Atp6ap1     0.0016     0.5435     0.688     0.266
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ube2k     0.0000014065     0.5428     0.438     0.07
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Sowahc     0.0055     0.5382     0.188     0.018
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ggcx     0.004     0.538     0.188     0.017
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Triap1     0.0079     0.5363     0.188     0.024
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Trmt61b     0.0001     0.5361     0.188     0.007
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Dnlz     0     0.5358     0.375     0.063
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Bri3bp     0.0001     0.535     0.25     0.024
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rpl26     0.0081     0.5313     0.75     0.396
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Lamtor4     0.0076     0.5297     0.375     0.114
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Oxnad1     0     0.528     0.25     0.015
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Polr1d     0.0006     0.5268     0.438     0.112
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ube2r2     0.0001     0.5256     0.375     0.069
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Coa3     0.0059     0.5253     0.375     0.118
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mrpl51     0     0.5249     0.438     0.082
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Gm2a     0.0035     0.5249     0.375     0.102
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Pla2g12a     0.0000071896     0.5237     0.312     0.039
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Casd1     0.0046     0.5227     0.188     0.026
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     mt-Tw     0.0017     0.5219     0.188     0.017
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Nsrp1     0.0001     0.5209     0.25     0.023
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     mt-Nd6     0.0001     0.5209     0.312     0.044
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Fhad1     0.0000050422     0.5203     0.188     0.001
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Pja1     0.0051     0.5203     0.312     0.066
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Snap47     0.0001     0.5199     0.375     0.065
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mut     0     0.5198     0.312     0.04
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rpn2     0.0011     0.5181     0.5     0.151
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mtpn     0.0011     0.5172     0.312     0.061
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Gpaa1     0.0096     0.5171     0.25     0.051
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Sult1a1     9.7969e-9     0.516     0.25     0.018
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mrps26     0.0048     0.5155     0.312     0.07
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tuba1b     3.8231e-7     0.5141     0.625     0.152
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Pet100     0.003     0.5127     0.438     0.146
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Nedd4     0.0001     0.5095     0.438     0.101
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tmem107     3.1638e-7     0.5077     0.25     0.013
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Timp2     0.0001     0.5041     0.5     0.149
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Dpy30     0.008     0.5005     0.312     0.083
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Slc4a2     0.0072     0.4992     0.438     0.155
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Emc4     0.0009     0.4984     0.312     0.059
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tmem176b     0.0001     0.4966     0.438     0.109
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Sgms2     0.0000012826     0.4964     0.188     0.004
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Smim4     0.0007     0.4964     0.25     0.036
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Dync2li1     0.0000012507     0.4963     0.25     0.013
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ndufv2     0.0001     0.4959     0.625     0.199
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Pam16     0     0.4958     0.438     0.099
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rcn2     0.0000078426     0.4955     0.438     0.095
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Serf2     0.0005     0.495     0.562     0.211
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rps16     0.0000079643     0.4901     0.688     0.215
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ift74     0.0000015149     0.4899     0.25     0.016
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Hk1     0.0001     0.488     0.25     0.025
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tnfaip8     0.0001     0.4872     0.188     0.013
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Serhl     6.831e-7     0.4849     0.188     0.007
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Fam134a     0.0063     0.4846     0.312     0.083
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ciapin1     0.0034     0.4844     0.25     0.042
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     C1galt1c1     0.0055     0.4825     0.25     0.046
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Cfap20     0.0099     0.4817     0.312     0.091
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Apoe     0.0006     0.4817     0.938     0.705
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Fads1     0.0003     0.4812     0.375     0.091
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Uqcrfs1     0.0045     0.481     0.438     0.163
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Dab2     4.3814e-7     0.4806     0.188     0.009
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Borcs7     0.0055     0.4793     0.25     0.065
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rab20     7.334e-9     0.4768     0.25     0.011
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Maged1     0.000001525     0.4764     0.5     0.107
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     4933434E20Rik     0.0002     0.4742     0.312     0.059
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Cetn2     0.0028     0.4716     0.25     0.04
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Pygm     0.0006     0.4707     0.188     0.021
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Lonp2     0.0076     0.4698     0.25     0.045
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Eif4b     0.0093     0.4689     0.25     0.069
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Pin1     0.0042     0.464     0.312     0.095
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Armcx2     0.0035     0.464     0.188     0.026
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tmem167     0.0066     0.4638     0.312     0.078
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Fcgrt     0.0000017344     0.4636     0.25     0.022
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Nxf1     0     0.4633     0.5     0.128
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Gys1     0.0007     0.4622     0.188     0.013
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Nxn     1.3849e-9     0.462     0.25     0.007
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Fads3     0.0000040577     0.461     0.188     0.004
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Aar2     0.0037     0.4609     0.188     0.02
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Prmt2     0.0007     0.4588     0.25     0.032
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Emc2     0.0006     0.458     0.375     0.091
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ttc30b     0.0000081949     0.4573     0.188     0.011
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rps26     0.0072     0.4566     0.812     0.464
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Taf2     0     0.4551     0.188     0.01
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Eif3i     0.0061     0.4536     0.375     0.108
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Etfa     6.0486e-9     0.4531     0.375     0.039
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Hspb1     0.0001     0.4502     0.188     0.008
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Galt     0.0001     0.4496     0.188     0.015
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Igbp1     0     0.4485     0.312     0.044
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Gfm1     0.0001     0.4457     0.188     0.015
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Atp6v1g1     0.0049     0.4455     0.438     0.145
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mtfr1     0.0000069692     0.4442     0.25     0.021
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Wdr46     0.0033     0.4441     0.188     0.02
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Vwa5a     0.0000054084     0.4435     0.25     0.026
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Slc25a11     0.0026     0.4418     0.312     0.074
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Cnn3     0.0004     0.4408     0.5     0.159
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Swi5     0.0001     0.438     0.688     0.271
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Dnajb11     9.402e-8     0.4371     0.5     0.097
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Zfp68     0.0069     0.4369     0.188     0.024
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Smpd1     0.0025     0.4363     0.375     0.101
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Psmc2     0.0001     0.4363     0.438     0.112
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Eif4g2     0.0012     0.4358     0.625     0.274
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ugdh     0.0000045056     0.4355     0.25     0.021
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Cyc1     0.0011     0.4353     0.5     0.158
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Bex2     0.0003     0.4345     0.25     0.04
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Nrep     0.0004     0.4339     0.188     0.02
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Atp6v0d1     0.0021     0.4336     0.5     0.171
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Nt5dc2     0.0000027782     0.4332     0.188     0.005
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Sdpr     0.0013     0.4322     0.188     0.019
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Acsl6     5.8375e-8     0.4309     0.438     0.095
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Erp44     0.0024     0.4289     0.312     0.071
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ctdspl     0.0052     0.4286     0.188     0.019
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ap3b1     0.0036     0.4278     0.188     0.019
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Zdhhc6     0.002     0.4276     0.188     0.018
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Itm2a     0.0000017124     0.4267     0.188     0.004
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mccc1     0.0053     0.4257     0.188     0.018
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Aga     0.0001     0.425     0.312     0.057
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Higd2a     0.0003     0.424     0.688     0.267
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ndufa5     0.0019     0.4232     0.562     0.248
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Plbd2     0.0051     0.4229     0.25     0.048
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Prr13     0.0001     0.4228     0.312     0.058
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     1110032A03Rik     0.0000025508     0.4207     0.438     0.087
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rtca     0.001     0.4202     0.25     0.036
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rpl36a     0.0004     0.4196     0.625     0.235
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Cisd1     0.0081     0.4194     0.562     0.235
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tbcel     0     0.419     0.25     0.023
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Fbxo33     0.0001     0.4175     0.188     0.016
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rpl9     0     0.4172     0.812     0.327
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Hes1     0.0024     0.417     0.188     0.027
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ndufa3     0.0003     0.4161     1     0.568
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Trpv4     4.1021e-8     0.4145     0.188     0.003
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mrps35     0.0000054277     0.4143     0.25     0.017
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rps4x     0.0006     0.4128     0.562     0.222
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Timm8b     0.0057     0.4123     0.5     0.238
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ppp1r37     0.0009     0.4118     0.25     0.044
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Lsm6     0.0043     0.4102     0.375     0.111
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Adgra3     0     0.409     0.188     0.005
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mpv17     0.0014     0.4076     0.312     0.074
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Gm5905     0.0024     0.407     0.25     0.042
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Fam69b     8.8084e-7     0.407     0.188     0.011
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rps2     0.0008     0.4062     0.625     0.243
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ifitm2     1.4266e-7     0.4033     0.188     0.013
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Sdhb     0.0002     0.4009     0.562     0.186
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mrpl28     0.0019     0.3997     0.312     0.071
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Prpf6     0.0059     0.3961     0.188     0.036
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Lman2     0.0006     0.3954     0.312     0.068
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ormdl2     0.0000064709     0.3926     0.312     0.053
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mtx2     0.0011     0.3925     0.312     0.071
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Kif9     5.1025e-7     0.3908     0.188     0.002
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Txnip     0.0001     0.3896     0.312     0.067
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Cd151     0     0.3896     0.25     0.041
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Phactr2     0     0.3893     0.188     0.016
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ctsd     0.003     0.389     0.75     0.431
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Slc33a1     0.0000012531     0.3869     0.312     0.04
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Nucb1     0.0016     0.3868     0.312     0.07
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tax1bp1     0.0009     0.3845     0.375     0.103
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rps28     0.0001     0.3839     0.75     0.393
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Slc38a3     7.7709e-8     0.3812     0.562     0.145
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Psmd8     0.0002     0.3795     0.438     0.122
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Phax     0.0004     0.3789     0.25     0.047
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mrpl39     0.0003     0.3787     0.25     0.038
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Mrps34     0.0011     0.3787     0.25     0.048
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Bbip1     0.0046     0.3774     0.375     0.118
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rps7     0.0004     0.3773     0.688     0.275
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ap3s1     0.0003     0.3769     0.188     0.014
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rmdn3     0.0015     0.3768     0.25     0.045
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Pcca     1.0596e-7     0.3759     0.25     0.019
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Snap23     0.0006     0.3751     0.25     0.04
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ufsp2     0.0013     0.375     0.25     0.045
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rps15a-ps7     0     0.3747     0.188     0.018
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Tmem98     0.003     0.3734     0.438     0.148
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Neu1     0.0000091002     0.3729     0.312     0.048
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Eno1b     7.9208e-7     0.3721     0.188     0.007
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Alg3     0.0000033545     0.3715     0.25     0.024
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Hmgn3     0.0000034643     0.3714     0.438     0.095
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Ebpl     0.0014     0.3698     0.25     0.045
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Rhod     1.8541e-7     0.3693     0.188     0.001
     Adult-Brain_12     Ttr-high ependymal cell (Adult-Brain)     Endog     0.0003     0.3675     0.188     0.016
